profession,token,weighted_score_unmasked,weighted_score_masked,weighted_score_diff_masked_minus_unmasked,count_topk_unmasked,count_topk_masked,doc_freq_unmasked,doc_freq_masked,mean_attr_unmasked,mean_attr_masked
poet,review,0.0,2.2505463361740112,2.2505463361740112,0.0,3.0,0.0,3.0,0.0,0.7501821120580038
poet,poems,8.133482247591019,9.906936466693878,1.7734542191028595,12.0,13.0,10.0,11.0,0.6777901872992516,0.7620720358995291
poet,poem,3.04099577665329,4.486062943935394,1.4450671672821045,3.0,4.0,3.0,4.0,1.01366525888443,1.1215157359838486
poet,writing,4.653051406145096,5.051789969205856,0.3987385630607605,12.0,15.0,11.0,14.0,0.3877542838454246,0.3367859979470571
poet,english,3.109090209007263,3.489417165517807,0.3803269565105438,5.0,8.0,5.0,8.0,0.6218180418014526,0.4361771456897259
poet,mfa,1.4440017193555832,1.6987705826759338,0.25476886332035065,4.0,3.0,4.0,3.0,0.3610004298388958,0.5662568608919779
poet,lyricism,2.445802688598633,1.8306691646575928,-0.61513352394104,1.0,1.0,1.0,1.0,2.445802688598633,1.8306691646575928
poet,poets,1.6084648966789246,0.0,-1.6084648966789246,3.0,0.0,3.0,0.0,0.5361549655596415,0.0
poet,professor,1.998943030834198,0.0,-1.998943030834198,3.0,0.0,3.0,0.0,0.6663143436113993,0.0
poet,creative,2.0679939091205597,0.0,-2.0679939091205597,5.0,0.0,5.0,0.0,0.4135987818241119,0.0
professor,university,58.56577757000923,193.48700353503227,134.92122596502304,112.0,371.0,108.0,316.0,0.5229087283036539,0.5215283114151813
professor,research,329.52381847798824,377.2284837514162,47.70466527342796,405.0,516.0,380.0,458.0,0.8136390579703413,0.7310629530066206
